epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,4.259817600250244,2.6550254821777344,1.8923592567443848,1.8923592567443848
1,2.0844578742980957,1.2010999917984009,1.4256346225738525,1.4256346225738525
2,1.339227318763733,0.9339412450790405,1.2076547145843506,1.2076547145843506
3,0.9963456392288208,0.8186822533607483,1.1092498302459717,1.1092498302459717
4,0.8314396142959595,0.7511876225471497,1.0393908023834229,1.0393909215927124
5,0.7325424551963806,0.6943504810333252,0.9774845242500305,0.9774845242500305
6,0.6603469252586365,0.6419560313224792,0.9231969118118286,0.9231969118118286
7,0.602986752986908,0.5954681634902954,0.8772056698799133,0.8772056698799133
8,0.5560119152069092,0.5556153655052185,0.8390032649040222,0.8390032649040222
9,0.5168868899345398,0.5219707489013672,0.8072150349617004,0.8072150349617004
10,0.4838722050189972,0.4934210777282715,0.780535876750946,0.780535876750946
11,0.4556737244129181,0.46891093254089355,0.7578638792037964,0.7578638792037964
12,0.43128901720046997,0.4475656747817993,0.7383355498313904,0.7383355498313904
13,0.4099564254283905,0.42872411012649536,0.7213006019592285,0.7213006019592285
14,0.39105647802352905,0.4118884801864624,0.7062826752662659,0.7062826752662659
15,0.37414389848709106,0.39666831493377686,0.6928849220275879,0.6928849220275879
16,0.3588694930076599,0.38278576731681824,0.6807965040206909,0.6807965040206909
17,0.34496009349823,0.37002184987068176,0.6697961091995239,0.6697961091995239
18,0.3322035074234009,0.358201801776886,0.6597152352333069,0.6597152352333069
19,0.3204212188720703,0.34721440076828003,0.6503973603248596,0.6503973603248596
