epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,8.123482704162598,4.709709167480469,3.991194009780884,3.991194009780884
1,4.451167583465576,1.9159159660339355,1.9946602582931519,1.9946602582931519
2,2.8240652084350586,1.4180371761322021,1.4262679815292358,1.4262679815292358
3,2.0469043254852295,1.1186848878860474,1.2669988870620728,1.2669988870620728
4,1.618285059928894,1.021419644355774,1.1368231773376465,1.1368231773376465
5,1.376265287399292,0.9765352606773376,1.0639073848724365,1.0639073848724365
6,1.23079252243042,0.948940098285675,1.0211867094039917,1.0211867094039917
7,1.1269599199295044,0.925155758857727,0.9868951439857483,0.9868951439857483
8,1.044818639755249,0.8992030024528503,0.9574965834617615,0.9574965834617615
9,0.9757699966430664,0.8728652596473694,0.9299353361129761,0.9299353361129761
10,0.9165533781051636,0.8459691405296326,0.9044803380966187,0.9044803380966187
11,0.8645691871643066,0.8191474080085754,0.8800976276397705,0.8800976276397705
12,0.8183152675628662,0.7929526567459106,0.8575863838195801,0.8575863838195801
13,0.7768042087554932,0.7677215337753296,0.836833655834198,0.836833655834198
14,0.7393069267272949,0.743614137172699,0.8176577687263489,0.8176577687263489
15,0.7052938342094421,0.7211681604385376,0.7980143427848816,0.7980143427848816
16,0.6743482947349548,0.6987948417663574,0.7806234359741211,0.7806234359741211
17,0.6457638740539551,0.6776511669158936,0.764886736869812,0.764886736869812
18,0.6193754076957703,0.6577980518341064,0.7503197193145752,0.7503197193145752
19,0.5949764847755432,0.6390967965126038,0.7366413474082947,0.7366413474082947
20,0.5723585486412048,0.621429443359375,0.7236748337745667,0.7236748337745667
21,0.5513293743133545,0.6047088503837585,0.7113032341003418,0.7113032341003418
22,0.5317222476005554,0.5888665914535522,0.699446439743042,0.699446439743042
23,0.5133911967277527,0.5738442540168762,0.6880508661270142,0.6880508661270142
24,0.49621260166168213,0.5595896244049072,0.6770828366279602,0.6770828366279602
25,0.4800797700881958,0.5460558533668518,0.6665217876434326,0.6665217876434326
26,0.4649016559123993,0.5332006812095642,0.6559879183769226,0.6559879183769226
27,0.45059889554977417,0.520984947681427,0.6457698345184326,0.6457698345184326
28,0.437101811170578,0.5093724131584167,0.6359394192695618,0.6359394192695618
